sku_key,sku,style,category,size,mapping_scope
BTM035-NP-XXXL,BTM035-NP-XXXL,BTM035,Bottom,3XL,Amazon source-local
BTM036-PP-L,BTM036-PP-L,BTM036,Bottom,L,Amazon source-local
BTM036-PP-M,BTM036-PP-M,BTM036,Bottom,M,Amazon source-local
BTM036-PP-S,BTM036-PP-S,BTM036,Bottom,S,Amazon source-local
BTM036-PP-XL,BTM036-PP-XL,BTM036,Bottom,XL,Amazon source-local
BTM036-PP-XXL,BTM036-PP-XXL,BTM036,Bottom,XXL,Amazon source-local
BTM036-PP-XXXL,BTM036-PP-XXXL,BTM036,Bottom,3XL,Amazon source-local
BTM037-PP-M,BTM037-PP-M,BTM037,Bottom,M,Amazon source-local
BTM037-PP-S,BTM037-PP-S,BTM037,Bottom,S,Amazon source-local
BTM037-PP-XL,BTM037-PP-XL,BTM037,Bottom,XL,Amazon source-local
BTM037-PP-XS,BTM037-PP-XS,BTM037,Bottom,XS,Amazon source-local
BTM037-PP-XXL,BTM037-PP-XXL,BTM037,Bottom,XXL,Amazon source-local
BTM037-PP-XXXL,BTM037-PP-XXXL,BTM037,Bottom,3XL,Amazon source-local
BTM038-PP-L,BTM038-PP-L,BTM038,Bottom,L,Amazon source-local
BTM038-PP-S,BTM038-PP-S,BTM038,Bottom,S,Amazon source-local
BTM038-PP-XS,BTM038-PP-XS,BTM038,Bottom,XS,Amazon source-local
BTM038-PP-XXL,BTM038-PP-XXL,BTM038,Bottom,XXL,Amazon source-local
BTM038-PP-XXXL,BTM038-PP-XXXL,BTM038,Bottom,3XL,Amazon source-local
BTM039-PP-L,BTM039-PP-L,BTM039,Bottom,L,Amazon source-local
BTM039-PP-M,BTM039-PP-M,BTM039,Bottom,M,Amazon source-local
BTM039-PP-S,BTM039-PP-S,BTM039,Bottom,S,Amazon source-local
BTM039-PP-XL,BTM039-PP-XL,BTM039,Bottom,XL,Amazon source-local
BTM039-PP-XS,BTM039-PP-XS,BTM039,Bottom,XS,Amazon source-local
BTM039-PP-XXL,BTM039-PP-XXL,BTM039,Bottom,XXL,Amazon source-local
BTM039-PP-XXXL,BTM039-PP-XXXL,BTM039,Bottom,3XL,Amazon source-local
BTM040-PP-M,BTM040-PP-M,BTM040,Bottom,M,Amazon source-local
BTM040-PP-S,BTM040-PP-S,BTM040,Bottom,S,Amazon source-local
BTM040-PP-XL,BTM040-PP-XL,BTM040,Bottom,XL,Amazon source-local
BTM040-PP-XS,BTM040-PP-XS,BTM040,Bottom,XS,Amazon source-local
BTM040-PP-XXL,BTM040-PP-XXL,BTM040,Bottom,XXL,Amazon source-local
BTM040-PP-XXXL,BTM040-PP-XXXL,BTM040,Bottom,3XL,Amazon source-local
BTM041-PP-L,BTM041-PP-L,BTM041,Bottom,L,Amazon source-local
BTM041-PP-S,BTM041-PP-S,BTM041,Bottom,S,Amazon source-local
BTM041-PP-XL,BTM041-PP-XL,BTM041,Bottom,XL,Amazon source-local
BTM041-PP-XS,BTM041-PP-XS,BTM041,Bottom,XS,Amazon source-local
BTM041-PP-XXL,BTM041-PP-XXL,BTM041,Bottom,XXL,Amazon source-local
BTM041-PP-XXXL,BTM041-PP-XXXL,BTM041,Bottom,3XL,Amazon source-local
BTM042-PP-L,BTM042-PP-L,BTM042,Bottom,L,Amazon source-local
BTM042-PP-M,BTM042-PP-M,BTM042,Bottom,M,Amazon source-local
BTM042-PP-S,BTM042-PP-S,BTM042,Bottom,S,Amazon source-local
BTM042-PP-XL,BTM042-PP-XL,BTM042,Bottom,XL,Amazon source-local
BTM042-PP-XS,BTM042-PP-XS,BTM042,Bottom,XS,Amazon source-local
BTM042-PP-XXL,BTM042-PP-XXL,BTM042,Bottom,XXL,Amazon source-local
BTM042-PP-XXXL,BTM042-PP-XXXL,BTM042,Bottom,3XL,Amazon source-local
BTM043-PP-S,BTM043-PP-S,BTM043,Bottom,S,Amazon source-local
BTM043-PP-XL,BTM043-PP-XL,BTM043,Bottom,XL,Amazon source-local
BTM043-PP-XS,BTM043-PP-XS,BTM043,Bottom,XS,Amazon source-local
BTM043-PP-XXL,BTM043-PP-XXL,BTM043,Bottom,XXL,Amazon source-local
